utility_id,name,state,rate,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,summer_starting_month,summer_ending_month,nox_rate,so2_rate,co2_rate,mercury_rate,percent_coal,percent_oil,percent_gas,percent_nuclear,percent_hydro,percent_biomass,percent_wind,percent_solar,percent_geothermal,percent_other,percent_unknown
113,"Agway Energy Services, Inc",NY,0.096923135,0.10169901,0.085800062,0.08798005,0.077751885,0.072017049,0.088517618,0.09780475,0.097869013,0.072174719,0.068254682,0.069477119,0.080654042,5,10,0.000978,0.002358,0.908902,0.0000000085,14.501,9.3941,36.6712,27.5521,5.0846,5.7324,0.0086,0,0,1.047,1.047
162,Aiken Electric Coop Inc,SC,0.098596623,0.096249964,0.084094728,0.07902772,0.067954873,0.065115608,0.085212682,0.102486673,0.109855861,0.094399845,0.067065273,0.065874593,0.082662181,5,10,0.002234387096774,0.006530596774194,1.39321396774193,0.00000002508871,57.34335484,2.085295161,9.391101613,23.91533226,5.191730645,1.776287097,0.010587097,0,0,0.196154839,0.196154839
174,Aitkin Public Utilities Comm,MN,0.077453361,0.097632015,0.092262085,0.088855827,0.074505978,0.065025152,0.073324618,0.089280534,0.092331325,0.072701757,0.070751701,0.083598444,0.099730563,5,10,0.0037916,0.00594192,1.81560636,0.000000042796,74.496968,0.64674,1.937384,15.9225,4.686548,0.951816,1.218908,0,0,0.136312,0.136312
176,Ajo Improvement Co,AZ,0.116806421,0.06832018,0.062683202,0.069673055,0.05253664,0.073280722,0.11837655,0.121533258,0.129875986,0.093799324,0.069222097,0.061104848,0.079594138,5,10,0.002083,0.001444,1.254018,0.0000000254,40.3736,0.0492,31.4916,21.1766,4.4873,0.0331,0.3886,0.0032,1.9848,0.0117,0.0117
25866,Ak-Chin Electric Utility Authority,AZ,0.076883763,0.047404598,0.04361223,0.054752311,0.059018725,0.093861105,0.135103105,0.139606542,0.130362645,0.114245082,0.057596587,0.058070633,0.066366438,5,10,0.002083,0.001444,1.254018,0.0000000254,40.3736,0.0492,31.4916,21.1766,4.4873,0.0331,0.3886,0.0032,1.9848,0.0117,0.0117
192,Akiachak Native Community Electric Co,AK,0.396880734,0.104110193,0.096810594,0.089224828,0.084698742,0.074259216,0.071794615,0.067922459,0.070088594,0.07394128,0.076807914,0.089580902,0.100760663,5,10,0.002993,0.001329,1.257188,0.0000000017,12.3253,7.2819,67.9987,0,12.3868,0.0074,0,0,0,0,0
189,Alabama Electric Coop Inc,AL,,0.096249964,0.084094728,0.07902772,0.067954873,0.065115608,0.085212682,0.102486673,0.109855861,0.094399845,0.067065273,0.065874593,0.082662181,5,10,0.002234387096774,0.006530596774194,1.39321396774193,0.00000002508871,57.34335484,2.085295161,9.391101613,23.91533226,5.191730645,1.776287097,0.010587097,0,0,0.196154839,0.196154839
195,Alabama Power Co,AL,0.074421863,0.085617864,0.071127446,0.067928379,0.060082486,0.075118068,0.099371575,0.122645795,0.117344161,0.092229973,0.063855644,0.061147643,0.083530967,5,10,0.002169,0.008451,1.49037,0.0000000349,64.0057,0.6086,10.1146,18.6135,3.0769,3.453,0,0,0,0.1237,0.1237
191,Alamo Power District No 3,NV,0.074401198,0.096163648,0.0861542,0.085470029,0.074253147,0.069881655,0.079667222,0.092471612,0.097593107,0.08187432,0.069971034,0.073819164,0.092680863,5,10,0.001954776119403,0.001396208955224,1.21806479104478,0.000000014301493,42.91960448,0.247558209,19.65172239,8.301813433,26.17973582,0.830508955,0.595576119,0.024722388,1.066658209,0.151310448,0.151310448
213,Alaska Electric Light&Power Co,AK,0.08602468,0.099200194,0.098260919,0.096168899,0.089003373,0.077056086,0.066809455,0.062305207,0.064945138,0.069556122,0.073192252,0.092703545,0.11079881,5,10,0.002993,0.001329,1.257188,0.0000000017,12.3253,7.2819,67.9987,0,12.3868,0.0074,0,0,0,0,0
219,Alaska Power Co,WA,0.255141697,0.098966218,0.089190709,0.080280289,0.080237034,0.075868333,0.075565552,0.072710757,0.079761235,0.078593365,0.0789394,0.088801419,0.101085687,5,10,0.002993,0.001329,1.257188,0.0000000017,12.3253,7.2819,67.9987,0,12.3868,0.0074,0,0,0,0,0
